dc/28,14TH STREET NW / H STREET NW / -,28,5/24/2011,00:00-24:00,0.0,9115.7,458.1,0.0,0.0,0.0,873.6,14150.9,0.0,1975.9,7721.3,1054.7,1798.5,4196.6,2933.4,4093.7,0.0,0.0,0.0,0.0,38.900205,-77.031956
dc/29,17TH STREET NW / I STREET NW / -,29,6/8/2011,00:00-24:00,1933.6,1365.3,6.1,596.0,11850.4,804.5,5.9,355.5,190.2,0.0,0.0,0.0,5625.6,5641.8,8285.7,9022.9,0.0,0.0,0.0,0.0,38.901340,-77.039447
dc/2ND%20STREET%20AND%20K%20STREET%20SE.txt,2ND STREET / K STREET,Unshifted - Bank 1 - Bank 2,12/8/2011,00:00-24:00,247.3,106.0,30.1,28.0,1505.7,288.4,477.2,139.0,269.5,197.8,1602.5,114.1,327.0,70.1,300.6,1134.7,0.0,0.0,0.0,0.0,,
dc/3,11TH STREET NW / N STREET NW / -,3,2/23/2011,00:00-24:00,571.9,3247.2,127.6,153.9,1045.7,179.3,233.3,2500.0,145.9,247.8,844.6,160.8,513.6,617.2,788.1,550.0,0.0,0.0,0.0,0.0,38.907240,-77.027036
dc/30,16TH STREET NW / I STREET NW / -,30,5/25/2011,00:00-24:00,2668.8,2933.4,0.0,2037.0,11014.7,498.6,0.0,1514.6,852.9,0.0,0.0,0.0,3115.2,3710.9,3566.5,3293.8,0.0,0.0,0.0,0.0,38.901344,-77.036546
dc/31,17TH STREET NW / H STREET NW / -,31,5/24/2011,00:00-24:00,0.0,10400.8,2704.2,0.0,0.0,0.0,3559.4,5719.9,33.2,932.2,8324.7,1064.8,5215.8,10155.6,3826.6,10299.7,0.0,0.0,0.0,0.0,38.900208,-77.039448
dc/32,15TH STREET NW / H STREET NW / -,32,6/9/2011,00:00-24:00,0.0,0.0,0.0,0.0,0.0,0.0,1236.1,8255.7,0.0,3463.6,13164.3,1357.1,2480.2,3326.4,2327.2,3360.3,0.0,0.0,0.0,0.0,38.900206,-77.033642
dc/33,14TH STREET NW / I STREET NW / -,33,7/26/2011,00:00-24:00,979.9,9613.6,0.0,255.6,10291.5,1169.9,0.0,12113.0,3185.2,0.0,0.0,0.0,5897.7,13456.1,13632.4,20621.8,0.0,0.0,0.0,0.0,38.901338,-77.031963
dc/34,I STREET NW / 15TH STREET NW / VERMONT AVENUE NW / -,34,6/15/2011,00:00-24:00,702.5,1862.5,0.0,2744.4,12694.1,998.9,0.0,1273.7,337.4,0.0,0.0,0.0,6437.8,6437.0,8869.2,16904.9,0.0,0.0,0.0,0.0,,
dc/34th%20St%20and%20Porter%20St%20NW.txt,34TH STREET / PORTER STREET,VEHICLES - HEAVY VEHICLES - BICYCLES,3/6/2012,00:00-24:00,262.9,7072.2,503.0,464.1,2785.7,671.7,575.3,5989.9,191.3,253.1,2814.6,459.5,282.0,205.0,420.2,278.3,0.0,0.0,0.0,0.0,,
dc/35,7TH STREET NW / T STREET NW / -,35,6/23/2011,00:00-24:00,0.0,6989.2,211.0,0.0,0.0,0.0,198.7,4347.6,0.0,338.0,779.9,156.0,683.7,4323.6,748.0,992.5,0.0,0.0,0.0,0.0,38.915572,-77.021919
dc/36,13TH STREET NW / U STREET NW / -,36,7/14/2011,00:00-24:00,369.3,4198.4,437.3,311.8,6727.1,321.8,486.8,3198.3,527.3,492.3,5501.7,228.2,1751.6,2672.3,8249.7,1646.4,0.0,0.0,0.0,0.0,38.916999,-77.029621
