id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,,
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,07:00-07:15,137,279,,,151,20,5,63,1,,47,13,,,,2,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,07:15-07:30,168,301,2,,109,19,3,61,3,1,37,9,,,1,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,07:30-07:45,170,246,,6,130,12,1,65,,3,23,7,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,07:45-08:00,199,234,1,,141,26,3,71,1,1,21,5,2,,3,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,08:00-08:15,110,285,,,89,26,4,69,3,2,19,7,,,1,2,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,08:15-08:30,76,279,,2,110,17,4,59,2,,18,8,,,1,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,08:30-08:45,42,265,,,42,12,5,67,3,1,21,11,,1,3,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,08:45-09:00,62,230,,,49,6,2,71,2,,14,6,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,09:00-09:15,51,153,,1,23,6,4,63,3,,27,14,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,09:15-09:30,40,189,,,38,6,3,51,1,1,38,13,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,09:30-09:45,40,146,1,,24,6,2,39,,2,24,19,,,,1,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,09:45-10:00,27,167,,,42,2,1,36,,1,21,16,,1,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,10:00-10:15,26,128,,,39,4,1,41,,,20,19,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,10:15-10:30,21,105,1,,21,3,2,43,,,17,21,,1,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,10:30-10:45,28,81,2,,27,6,2,49,,,19,23,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,10:45-11:00,22,65,,,22,4,3,56,,,18,19,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,11:00-11:15,24,76,,,28,5,4,67,,1,16,17,,,1,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,11:15-11:30,18,52,,,21,3,3,79,,2,24,21,,1,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,11:30-11:45,15,51,,1,24,7,9,83,1,1,29,20,,1,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,11:45-12:00,25,71,,,16,6,5,90,1,1,46,21,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,12:00-12:15,12,55,,1,19,3,3,87,1,1,47,24,,,,1,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,12:15-12:30,20,63,1,,13,4,4,69,,,58,27,,,1,1,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,12:30-12:45,16,56,1,,25,5,7,64,,,61,34,,1,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,12:45-13:00,24,79,,1,18,3,8,79,,1,59,39,,2,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,14:00-14:15,13,51,,,13,2,10,89,,,79,46,1,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,14:15-14:30,26,64,2,,35,7,8,107,1,,104,43,,1,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,14:30-14:45,37,77,,1,27,3,11,121,,,117,50,,,,2,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,14:45-15:00,28,72,2,1,26,1,9,126,,1,147,51,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,15:00-15:15,27,91,2,,25,3,8,151,,,139,50,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,15:15-15:30,19,107,1,1,23,2,7,169,1,1,128,51,,,,1,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,15:30-15:45,17,110,,1,24,3,7,176,1,,126,49,,,,2,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,15:45-16:00,20,90,1,,29,4,8,192,,1,119,58,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,16:00-16:15,20,80,1,,30,10,13,223,1,1,153,71,,1,,1,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,16:15-16:30,20,74,,,21,2,14,276,1,2,147,80,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,16:30-16:45,21,93,2,,21,4,18,340,,1,159,79,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,16:45-17:00,17,88,,,27,4,11,327,,3,176,86,,1,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,17:00-17:15,22,76,,,32,1,9,286,,4,196,84,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,17:15-17:30,16,98,1,3,27,4,8,276,,4,215,76,,,,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,17:30-17:45,29,106,2,,46,6,6,256,,3,226,91,,,1,,,,,,38.948720,-77.029701
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/ARKANSAS%20AVENUE %20NW%20%26%2013TH%20STREET.txt,ARKANSAS AVENUE NW & 13TH STREET,x,11/14/2000,17:45-18:00,19,88,1,,39,6,6,241,1,2,204,81,,,,,,,,,38.948720,-77.029701
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,07:00-07:15,26,234,,,2,,,120,,2,7,2,,,,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,07:15-07:30,29,256,,,3,,,100,2,,4,1,,2,,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,07:30-07:45,31,267,1,,4,1,1,112,1,,3,4,,,1,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,07:45-08:00,41,267,,,6,,,107,5,1,2,2,,1,4,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,08:00-08:15,36,296,,1,4,,2,106,6,5,6,8,1,2,5,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,08:15-08:30,39,311,,,3,,5,108,11,4,6,7,,,16,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,08:30-08:45,44,323,,,2,,1,103,14,2,4,10,,5,9,1,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,08:45-09:00,37,295,1,1,1,,1,93,2,1,4,12,,3,3,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,09:00-09:15,25,291,,,1,,1,92,5,,3,4,,2,8,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,09:15-09:30,21,254,1,,,,1,73,,,4,4,,,1,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,09:30-09:45,18,236,,,,,,81,,,1,3,,,1,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,09:45-10:00,16,221,,,1,,2,66,2,,1,2,,,1,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,10:00-10:15,9,199,,,,,,63,,,2,1,,,3,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,10:15-10:30,7,188,,,1,,1,61,1,,1,3,,,2,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,10:30-10:45,2,176,,,,,,70,,,1,3,,2,3,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,10:45-11:00,3,165,,,,,1,64,2,1,4,7,,1,2,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,11:00-11:15,4,151,,,1,,1,78,,,3,5,,,1,1,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,11:15-11:30,6,138,,,,,,83,2,1,1,3,,,,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,11:30-11:45,3,141,,,1,,1,113,3,2,2,5,,2,,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,11:45-12:00,2,136,,,,,,97,1,2,5,8,,1,1,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,12:00-12:15,1,127,,,,,,104,1,,1,7,,1,2,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,12:15-12:30,,225,,,1,,3,84,2,1,10,5,,1,5,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,12:30-12:45,2,116,,,,,2,79,,1,2,4,,2,3,1,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,12:45-13:00,3,107,,,,,1,98,3,2,3,4,,1,3,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,14:00-14:15,1,111,,,,,2,108,,3,3,4,,2,2,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,14:15-14:30,2,126,,,1,,,107,4,1,3,4,,1,5,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,14:30-14:45,7,131,,,,,2,142,3,,3,16,,2,3,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,14:45-15:00,14,147,,,,,2,143,3,5,2,3,,,,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,15:00-15:15,8,149,,,,,3,175,1,3,5,10,,,,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,15:15-15:30,5,151,,1,,,1,191,3,1,3,13,,1,4,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,15:30-15:45,2,151,,,,,3,206,3,5,5,17,,2,5,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,15:45-16:00,1,147,,,,,3,230,8,6,9,11,,2,6,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,16:00-16:15,3,139,,,,,,237,3,,6,14,,,6,1,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,16:15-16:30,3,144,,,1,1,2,235,5,4,9,11,,2,2,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,16:30-16:45,6,178,,,,,2,254,3,5,5,14,1,1,4,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,16:45-17:00,7,196,,,,1,2,203,9,3,6,11,,,,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,17:00-17:15,6,208,,,,,1,254,3,4,8,15,,1,2,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,17:15-17:30,5,201,,,2,,,264,4,,6,12,,3,7,1,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,17:30-17:45,4,181,,,1,1,1,250,10,1,17,32,1,7,9,,,,,,38.950732,-77.074944
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200011/NEBRASKA%20AVENUE %20NW%20%26%20CHESAPEAKE%20STREET.txt,NEBRASKA AVENUE NW & CHESAPEAKE STREET,x,11/1/2000,17:45-18:00,3,167,,,,,3,267,4,7,20,14,,2,3,,,,,,38.950732,-77.074944
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200012/13TH%20STREET %20NW%20%26%20IRVING%20STREET.txt,13TH STREET NW & IRVING STREET,x,12/5/2000,07:00-07:15,,284,18,,,,1,39,,4,76,6,,1,12,9,,,,,38.928635,-77.029708
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200012/13TH%20STREET %20NW%20%26%20IRVING%20STREET.txt,13TH STREET NW & IRVING STREET,x,12/5/2000,10:00-10:15,,143,13,,,,3,51,,12,78,4,,1,,5,,,,,38.928635,-77.029708
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2001/July/tree/2000/200012/13TH%20STREET %20NW%20%26%20IRVING%20STREET.txt,13TH STREET NW & IRVING STREET,x,12/5/2000,10:15-10:30,,125,11,,,,4,53,,11,73,3,,,1,6,,,,,38.928635,-77.029708
